Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
DRA12,11.6,Low fat,0.066132029,Soft Drinks,141.62,OUT045,2002,Tier 2,Supermarket Type1,3829.02
DRA12,11.6,Low fat,0.041177505,Soft Drinks,140.32,OUT017,2007,Tier 2,Supermarket Type1,2552.68
DRA12,11.6,Low fat,0.040911824,Soft Drinks,142.32,OUT013,1987,Tier 3,Supermarket Type1,2552.68
DRA12,11.6,Low fat,0.066132029,Soft Drinks,141.92,OUT035,2004,Tier 2,Supermarket Type1,992.71
DRA12,11.6,Low fat,0.041112694,Soft Drinks,142.02,OUT018,2009,Tier 3,Supermarket Type2,850.89
DRA12,11.6,Low fat,0.068535039,Soft Drinks,143.02,OUT010,1998,Tier 3,Grocery Store,283.63
DRA24,19.35,Regular,0.039734882,Soft Drinks,165.79,OUT027,1985,Tier 3,Supermarket Type3,4913.6
DRA24,19.35,Regular,0.039895009,Soft Drinks,162.49,OUT013,1987,Tier 3,Supermarket Type1,4422.24
DRA24,19.35,Regular,0.039920687,Soft Drinks,163.39,OUT035,2004,Tier 2,Supermarket Type1,3439.52
DRA24,19.35,Regular,0.040154087,Soft Drinks,164.69,OUT017,2007,Tier 2,Supermarket Type1,1146.51
DRA24,19.35,Regular,0.039990314,Soft Drinks,165.09,OUT049,1999,Tier 1,Supermarket Type1,982.72
DRA24,19.35,Regular,0.069909188,Soft Drinks,163.29,OUT019,1985,Tier 1,Grocery Store,491.36
DRA24,19.35,Regular,0.066831682,Soft Drinks,163.89,OUT010,1998,Tier 3,Grocery Store,327.57
DRA59,8.27,Regular,0.127308434,Soft Drinks,186.69,OUT027,1985,Tier 3,Supermarket Type3,7033.51
DRA59,8.27,Regular,0.127927931,Soft Drinks,184.89,OUT046,1997,Tier 1,Supermarket Type1,4442.22
DRA59,8.27,Regular,0.128449055,Soft Drinks,186.59,OUT018,2009,Tier 3,Supermarket Type2,4442.22
DRA59,8.27,Regular,0.066132029,Soft Drinks,183.29,OUT017,2007,Tier 2,Supermarket Type1,2406.2
DRA59,8.27,Regular,0.128126825,Soft Drinks,183.69,OUT049,1999,Tier 1,Supermarket Type1,1295.65
DRA59,8.27,Regular,0.127821472,Soft Drinks,185.99,OUT013,1987,Tier 3,Supermarket Type1,555.28
DRA59,8.27,Regular,0.223985293,Soft Drinks,186.29,OUT019,1985,Tier 1,Grocery Store,555.28
DRA59,8.27,Regular,0.214125129,Soft Drinks,183.99,OUT010,1998,Tier 3,Grocery Store,185.09
DRB01,7.39,Low fat,0.082170947,Soft Drinks,190.95,OUT013,1987,Tier 3,Supermarket Type1,2466.79
DRB01,7.39,Low fat,0.082367244,Soft Drinks,187.75,OUT049,1999,Tier 1,Supermarket Type1,1518.02
DRB01,7.39,Low fat,0.081841136,Soft Drinks,190.05,OUT027,1985,Tier 3,Supermarket Type3,569.26
DRB13,6.115,Regular,0.007055292,Soft Drinks,188.65,OUT049,1999,Tier 1,Supermarket Type1,3605.31
DRB13,6.115,Regular,0.007038478,Soft Drinks,189.25,OUT013,1987,Tier 3,Supermarket Type1,3605.31
DRB13,6.115,Regular,0.007084185,Soft Drinks,191.15,OUT017,2007,Tier 2,Supermarket Type1,3415.55
DRB13,6.115,Regular,0.01179078,Soft Drinks,189.05,OUT010,1998,Tier 3,Grocery Store,948.77
DRB13,6.115,Regular,0.007043008,Soft Drinks,190.35,OUT035,2004,Tier 2,Supermarket Type1,569.26
DRB24,8.785,Low fat,0.020618957,Soft Drinks,153.07,OUT045,2002,Tier 2,Supermarket Type1,4170.57
DRB24,8.785,Low fat,0.020609218,Soft Drinks,155.17,OUT049,1999,Tier 1,Supermarket Type1,4016.11
DRB24,8.785,Low fat,0.020573334,Soft Drinks,156.47,OUT035,2004,Tier 2,Supermarket Type1,2162.52
DRB24,8.785,Low fat,0.020693619,Soft Drinks,153.17,OUT017,2007,Tier 2,Supermarket Type1,1853.59
DRB25,12.3,Low fat,0.06912336,Soft Drinks,106.09,OUT027,1985,Tier 3,Supermarket Type3,2787.04
DRB25,12.3,Low fat,0.069852615,Soft Drinks,107.49,OUT017,2007,Tier 2,Supermarket Type1,2358.26
DRB25,12.3,Low fat,0.069401919,Soft Drinks,107.99,OUT013,1987,Tier 3,Supermarket Type1,2036.68
DRB25,12.3,Low fat,0.069742672,Soft Drinks,106.29,OUT018,2009,Tier 3,Supermarket Type2,1715.1
DRB25,12.3,Low fat,0.069446588,Soft Drinks,106.39,OUT035,2004,Tier 2,Supermarket Type1,857.55
DRB25,12.3,Low fat,0.116261335,Soft Drinks,107.09,OUT010,1998,Tier 3,Grocery Store,214.39
DRB48,16.75,Regular,0.024733134,Soft Drinks,40.28,OUT027,1985,Tier 3,Supermarket Type3,1296.31
DRB48,16.75,Regular,0.024848788,Soft Drinks,39.98,OUT035,2004,Tier 2,Supermarket Type1,746.36
DRB48,16.75,Regular,0.024832806,Soft Drinks,38.78,OUT013,1987,Tier 3,Supermarket Type1,667.8
DRB48,16.75,Regular,0.024892129,Soft Drinks,37.88,OUT049,1999,Tier 1,Supermarket Type1,589.23
DRB48,16.75,Regular,0.024994069,Soft Drinks,37.48,OUT017,2007,Tier 2,Supermarket Type1,549.95
DRB48,16.75,Regular,0.066132029,Soft Drinks,39.38,OUT046,1997,Tier 1,Supermarket Type1,353.54
